image_nr,image_name,file_path,cr,concept,category_label,CR,CR_pcntile,cr_rank,filename
18616,rhinoceros_11s.jpg,/home/jovyan/projects/generate-sequences/THINGS/rhinoceros/rhinoceros_11s.jpg,0.87804878,rhinoceros,animal,0.855465656,98.09590973201693,2,rhinoceros_1.jpg
19192,salami_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/salami/salami_02s.jpg,0.921052632,salami,food,0.859278179,98.66008462623414,1,salami_2.jpg
19193,salami_03s.jpg,/home/jovyan/projects/generate-sequences/THINGS/salami/salami_03s.jpg,0.804878049,salami,food,0.859278179,98.66008462623414,2,salami_1.jpg
19397,sauerkraut_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/sauerkraut/sauerkraut_02s.jpg,0.8,sauerkraut,food,0.852633447,97.53173483779972,1,sauerkraut_1.jpg
19405,sauerkraut_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/sauerkraut/sauerkraut_10s.jpg,0.926829268,sauerkraut,food,0.852633447,97.53173483779972,2,sauerkraut_2.jpg
19450,saxophone_01s.jpg,/home/jovyan/projects/generate-sequences/THINGS/saxophone/saxophone_01s.jpg,0.925,saxophone,musical instrument,0.848866777,96.82651622002821,1,saxophone_2.jpg
19453,saxophone_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/saxophone/saxophone_04s.jpg,0.853658537,saxophone,musical instrument,0.848866777,96.82651622002821,2,saxophone_1.jpg
19556,scarecrow_03s.jpg,/home/jovyan/projects/generate-sequences/THINGS/scarecrow/scarecrow_03s.jpg,0.8,scarecrow,home decor,0.826970462,87.23554301833568,1,scarecrow_2.jpg
19564,scarecrow_11s.jpg,/home/jovyan/projects/generate-sequences/THINGS/scarecrow/scarecrow_11s.jpg,0.794871795,scarecrow,home decor,0.826970462,87.23554301833568,2,scarecrow_1.jpg
19681,scrabble_05s.jpg,/home/jovyan/projects/generate-sequences/THINGS/scrabble/scrabble_05s.jpg,0.820512821,scrabble,NA,0.863925556,99.4358251057828,2,scrabble_1.jpg
19688,scrabble_12s.jpg,/home/jovyan/projects/generate-sequences/THINGS/scrabble/scrabble_12s.jpg,0.875,scrabble,NA,0.863925556,99.4358251057828,1,scrabble_2.jpg
20029,shaving_cream_06s.jpg,/home/jovyan/projects/generate-sequences/THINGS/shaving_cream/shaving_cream_06s.jpg,0.825,shaving_cream,NA,0.837717479,92.87729196050776,2,shaving_cream_2.jpg
20032,shaving_cream_09s.jpg,/home/jovyan/projects/generate-sequences/THINGS/shaving_cream/shaving_cream_09s.jpg,0.871794872,shaving_cream,NA,0.837717479,92.87729196050776,1,shaving_cream_1.jpg
20255,shopping_basket_09s.jpg,/home/jovyan/projects/generate-sequences/THINGS/shopping_basket/shopping_basket_09s.jpg,0.872435897,shopping_basket,container,0.826046498,86.67136812411847,1,shopping_basket_2.jpg
20258,shopping_basket_12s.jpg,/home/jovyan/projects/generate-sequences/THINGS/shopping_basket/shopping_basket_12s.jpg,0.853658537,shopping_basket,container,0.826046498,86.67136812411847,2,shopping_basket_1.jpg
20519,sim_card_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/sim_card/sim_card_04s.jpg,0.756097561,sim_card,NA,0.845378025,95.76868829337094,1,sim_card_1.jpg
20521,sim_card_06s.jpg,/home/jovyan/projects/generate-sequences/THINGS/sim_card/sim_card_06s.jpg,0.897435897,sim_card,NA,0.845378025,95.76868829337094,2,sim_card_2.jpg
20858,sloth_08s.jpg,/home/jovyan/projects/generate-sequences/THINGS/sloth/sloth_08s.jpg,0.948717949,sloth,animal,0.840887906,94.14668547249647,1,sloth_2.jpg
20860,sloth_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/sloth/sloth_10s.jpg,0.853658537,sloth,animal,0.840887906,94.14668547249647,2,sloth_1.jpg
21114,soda_fountain_02s.jpg,/home/jovyan/projects/generate-sequences/THINGS/soda_fountain/soda_fountain_02s.jpg,0.9,soda_fountain,NA,0.84223896,94.78138222849083,2,soda_fountain_1.jpg
21119,soda_fountain_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/soda_fountain/soda_fountain_07s.jpg,0.85,soda_fountain,NA,0.84223896,94.78138222849083,1,soda_fountain_2.jpg
21142,solar_panel_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/solar_panel/solar_panel_04s.jpg,0.783783784,solar_panel,NA,0.842670673,94.92242595204513,1,solar_panel_1.jpg
